PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39142261","Data-driven mathematical modeling approaches for COVID-19: A survey","Demongeot J, Magal P.","Phys Life Rev. 2024 Sep;50:166-208. doi: 10.1016/j.plrev.2024.08.004. Epub 2024 Aug 8.","Demongeot J","Phys Life Rev","2024","2024/08/14","","","10.1016/j.plrev.2024.08.004"
"38421182","Pathogenesis of viral infections during pregnancy","Creisher PS, Klein SL.","Clin Microbiol Rev. 2024 Jun 13;37(2):e0007323. doi: 10.1128/cmr.00073-23. Epub 2024 Feb 29.","Creisher PS","Clin Microbiol Rev","2024","2024/02/29","PMC11237665","","10.1128/cmr.00073-23"
"38230499","Recent advances in breast cancer cell line research","Sharma MP, Shukla S, Misra G.","Int J Cancer. 2024 May 15;154(10):1683-1693. doi: 10.1002/ijc.34849. Epub 2024 Jan 17.","Sharma MP","Int J Cancer","2024","2024/01/17","","","10.1002/ijc.34849"
"39270616","Early mathematical models of COVID-19 vaccination in high-income countries: a systematic review","Burch E, Khan SA, Stone J, Asgharzadeh A, Dawe J, Ward Z, Brooks-Pollock E, Christensen H.","Public Health. 2024 Nov;236:207-215. doi: 10.1016/j.puhe.2024.07.029. Epub 2024 Sep 12.","Burch E","Public Health","2024","2024/09/13","","","10.1016/j.puhe.2024.07.029"
"38988830","Learning from the COVID-19 pandemic: A systematic review of mathematical vaccine prioritization models","González-Parra G, Mahmud MS, Kadelka C.","Infect Dis Model. 2024 May 15;9(4):1057-1080. doi: 10.1016/j.idm.2024.05.005. eCollection 2024 Dec.","González-Parra G","Infect Dis Model","2024","2024/07/11","PMC11233876","","10.1016/j.idm.2024.05.005"
"38830442","Modeling approaches to inform travel-related policies for COVID-19 containment: A scoping review and future directions","Koiso S, Gulbas E, Dike L, Mulroy NM, Ciaranello AL, Freedberg KA, Jalali MS, Walker AT, Ryan ET, LaRocque RC, Hyle EP.","Travel Med Infect Dis. 2024 Nov-Dec;62:102730. doi: 10.1016/j.tmaid.2024.102730. Epub 2024 Jun 1.","Koiso S","Travel Med Infect Dis","2024","2024/06/03","PMC11606784","NIHMS2011021","10.1016/j.tmaid.2024.102730"
"38740040","COVID-19 vaccination strategies in Africa: A scoping review of the use of mathematical models to inform policy","Ofori SK, Dankwa EA, Estrada EH, Hua X, Kimani TN, Wade CG, Buckee CO, Murray MB, Hedt-Gauthier BL.","Trop Med Int Health. 2024 Jun;29(6):466-476. doi: 10.1111/tmi.13994. Epub 2024 May 13.","Ofori SK","Trop Med Int Health","2024","2024/05/13","","","10.1111/tmi.13994"
"38894519","Immunobiology of COVID-19: Mechanistic and therapeutic insights from animal models","Zheng HY, Song TZ, Zheng YT.","Zool Res. 2024 Jul 18;45(4):747-766. doi: 10.24272/j.issn.2095-8137.2024.062.","Zheng HY","Zool Res","2024","2024/06/19","PMC11298684","","10.24272/j.issn.2095-8137.2024.062"
"38362881","Pathogenesis and virulence of coronavirus disease: Comparative pathology of animal models for COVID-19","Kirk NM, Liang Y, Ly H.","Virulence. 2024 Dec;15(1):2316438. doi: 10.1080/21505594.2024.2316438. Epub 2024 Feb 16.","Kirk NM","Virulence","2024","2024/02/16","PMC10878030","","10.1080/21505594.2024.2316438"
"39060710","Canada's provincial COVID-19 pandemic modelling efforts: A review of mathematical models and their impacts on the responses","Xia Y, Flores Anato JL, Colijn C, Janjua N, Irvine M, Williamson T, Varughese MB, Li M, Osgood N, Earn DJD, Sander B, Cipriano LE, Murty K, Xiu F, Godin A, Buckeridge D, Hurford A, Mishra S, Maheu-Giroux M.","Can J Public Health. 2024 Aug;115(4):541-557. doi: 10.17269/s41997-024-00910-9. Epub 2024 Jul 25.","Xia Y","Can J Public Health","2024","2024/07/26","PMC11382646","","10.17269/s41997-024-00910-9"
